HMM	soft_bitscore_cutoff
IsdI-heme-oxygenase-rep	77
LbtU_LbtB-legiobactin_receptor_2	21.3
LbtU-LvtA-PiuA-PirA-RhtA-ViuA	25
LbtU-LbtB-legiobactin_receptor	21
MamA	119
MamB	273.9
MamC	101.6
MamD	46.7
MamE	170.5
MamF	72.2
MamG	79.6
MamJ	47.2
MamK	108.9
MamM	207
MamP	105.2
MamW	167
MamX	318
MamY	366
MamI	62.3
MamL	84.1
MamO	140.4
MamQ	183.4
MtoA	140
MtrA	140
MtrB_TIGR03509	240.05
MtrC_TIGR03507	209.3
OmcF	83.7
OmcS	78.2
OmcZ	76.9
PF00210-Ferritin_like_domain	44
PF13668_Ferritin_like_domain	23.4
PF00593-TonB_dependent_receptor-PiuA-PirA-FepA-RhtA	75.3
PF01032-FecCD-YfhA-FpvE-YfeCD_transport_family	25.8
PF01325-Iron_dependent_repressor-dtxR_family_N	40.1
PF01475-Iron_dependent_repressor-fur_family	23.8
PF01618-MotA_TolQ_ExbB_proton_channel_family	22.3
PF02421-FeoB_N	120.4
PF02472-ExbD	32.7
PF02742-Iron_dependent_repressor-dtxR_family_metal_binding_domain	20.7
PF03239-Iron_permease_FTR1_EfeU_Fip1_family	24.9
PF04023-FeoA	21
PF04183-IucA_IucC-rhbCF-AcsD-PvsD	26.3
PF04187-Haem_binding_uptake-Tiki_superfamily-ChaN	47.4
PF06276-RhbCF-AcsD-IucA-IucC-PvsB-Ferric_iron_reductase_FhuF_like_transporter	25.2
PF06438-Heme_binding_protein_A-HasA_HmuR	42.4
PF07664-FeoB_C	27.1
PF07670_sub-FeoB_gate	28
PF07670-FeoB_gate_nucleoside_recognition	52
PF07715_sub-TonB_dependent_siderophore_receptor_plug-PirA-PiuA-FepA-RhtA-LvtA	21.1
PF09012_sub-FeoC_like_transcriptional_regulator	20.9
PF14064-HmuY_heme_binding	31.8
PirA-siderophore_receptor-rep	317
PiuA-siderophore_receptor-rep	101
PvdDIJL-VabF-VibF-EntF-DhbF-MbtB-PchE	430
PvdDIJL-VabF-VibF-EntF-DhbF-MbtB-PchE-AngR_2	270
PvdDIJL-VabF-VibF-EntF-DhbF-MbtBEF-PchE-AngR-PchF	272
PvdQ_pyoverdine_biosynthesis-rep	480
sulfocyanin	45.4
PvsA_vibrioferrin_biosynthesis-rep	62
PvsB-AcsD-IucA-IucC-RhbCF-PvsD	17.5
PvsC_vibrioferrin_biosynthesis-rep	35
PvsD-AcsD-IucA-IucC-RhbCF-PvsB	17.5
PvsE-AcsE_vibrioferrin_biosynthesis-rep	85
PvuB-FecB_vibrioferrin_transport	150
PvuCD-FhuB-CbrBC-FeuB-CbrC-YfhA	18.3
PvuCD-FhuB-CbrBC-FeuBC	18.3
PvuE-FecB-vibrioferrin_transport	350
FpuD-CbrD-FepC-FhuC-PvuDE-FecE-SstC-ViuC-Siderophore_ABC_transport	172
VabA-DhbA-EntA-VibA	235
VabB-EntB-DhbB-VenB-VibB	75
VabC-DhbC-VibC-EntC-AmoA-PchA	161
VabE_Vanchrobactin_biosynthesis-rep	10000
VabF_Vanchrobactin_biosynthesis-rep	10000
VabG_Vanchrobactin_biosynthesis-rep	245
PF05171-HemS-PhuS-ChuS	20.4
PF16525-MHB 	27.3
PF05031-NEAT	33
FmnA	60
DmkA	17
FmnB	33
PplA	32
Ndh2	40
EetA	20
EetB	30
DmkB	25
PigA_Heme_oxygenase_Pseudomonas_aeruginosa_PDB_1sk7	17.2
MhuD_Heme_oxygenase_Mycobacterium_tuberculosis_pdb_4nl5	138
Isd-LmHde_Heme_oxygenase_Listeria_monocytogenes_pdb_4kia	62
HupZ_Heme_binding_Group_A_Streptococcus_pdb_5esc.hmm.tblout	17.1
HmoB_Heme_oxygenase_Bacillus_subtilis_subsp_spizizenii_str_W23_pdb_4fvc.hmm.tblout	171.9
HemO_Heme_oxygenase_Neisseria_Meningitidis_PDB_1p3t.hmm.tblout	17.2
HxuB	487.2
HxuA	653.5
PF03544_TonB_C	24.6
PF16031_TonB_N	33.6
PF13103_TonB_2	21.8
PF01497_Peripla_BP_2-HatD-SsstD-PhuT-FhuD-HmuT-YfiY-FpuA-FatB-ViuP-CbrA	27.5
PF04773_FecR	21.3
PF01126-HmuO_Heme_oxygenase	23
PF06228_ChuX_HutX	25.3
Transferrin_TbpB_binding_protein_Haemophilus_influenzae_P44971	40
Sid_YqjI_regulator_for_YqjH_P64588_Escherichia_coli_180606	20
Sid_YqjH_NADPH-dep_ferric_chelate_reductase_enterobactin_Q46871_Escherichia_coli_180606	27
Sid_VibH_Vanchrobactin_Biosynthesis_Vibrio_cholerae_AAG00565.1_180623	230.6
Sid_VabS_Vanchrobactin_Export_Vibrio_anguillarum_CAJ45638.1_180623	204
Sid_VabD_Vanchrobactin_Biosynthesis_Vibrio_anguillarum_AAW66006.2_180623	36
Sid_RhbD_Rhizobactin_biosynthesis_Rhizobium_meliloti_Q9Z3Q9	24
Sid_RhbB_Rhizobactin_biosynthesis_Rhizobium_meliloti_Q9Z3R1	61.9
Sid_RhbA_Rhizobactin_biosynthesis_Rhizobium_meliloti_Q9Z3R2	35
Sid_PvdT_Pyoverdine_export_Paeruginosa_PA2390_180623	175
Sid_PvdS_regulator_Paeruginosa_PA2426_180620	18.7
Sid_PvdR_Pyoverdine_export_Paeruginosa_PA2389_180623	61
Sid_PvdP_Pyoverdine_biosynthesis_Paeruginosa_PA2392_180623	92.3
Sid_PvdO_Pyoverdine_biosynthesis_Paeruginosa_PA2395_180623	154
Sid_PvdN_Pyoverdine_biosynthesis_Paeruginosa_PA2394_180623	63
Sid_PvdM_Pyoverdine_biosynthesis_Pseudomonas_fluorescens_PSF113_1846_180623	17.9
Sid_PvdH_Pyoverdine_biosynthesis_Pseudomonas_aeruginosa_PA2413_180623	98
Sid_PvdF_Pyoverdine_biosynthesis_Paeruginosa_PA2396_180623	86.9
Sid_PvdE_Pyoverdine_biosynthesis_Paeruginosa_PA2397_180623	120
Sid_PvdA_Pyoverdine_biosynthesis	150
Sid_PchR_pyochelin_regulator_Pseudomonas_aeruginosa_PA4227_180623	18.3
Sid_PchI_pyochelin_biosynthesis_Pseudomonas_aeruginosa_PA4222_180623	24
Sid_PchH_pyochelin_biosynthesis_Pseudomonas_aeruginosa_PA4223_180623	24
Sid_PchG_pyochelin_biosynthesis_Pseudomonas_aeruginosa_PA4224_180623	80
Sid_PchC_pyochelin_biosynthesis_Pseudomonas_aeruginosa_PA4229	64
Sid_PchB_pyochelin_biosynthesis_Pseudomonas_aeruginosa_Q51507	80
Sid_LbtC_Legiobactin_PAP2_superfamily_Legionella_oakridgensis_AHE65915.1_180604	20
Sid_IucD_Escherichia_coli_P11295	50
Sid_IucB_Escherichia_coli_Q47317	24
Sid_IroE_Shigella_dysenteriae_AAR13269.1_180606	20
Sid_IroB_Shigella_dysenteriae_AAR13266.1_180606	132
Sid_FpvJ_PA2405_Paeruginosa_PAO1_180602	40
Sid_FpvI_regulator_PA2387_Paeruginosa_PAO1_180620	50
Sid_FpvH_iron_release_PA2404_Paeruginosa_PAO1_180602	50
Sid_FpvG_iron_reductase_PA2403_Paeruginosa_PAO1_180602	18
Sid_FpvF_metal_ion_transport_PA2410_Paeruginosa_PAO1_180602	18.7
Sid_FpvD_ATPase_PA2408_Paeruginosa_PAO1_180602	40
Sid_FpvC_metal_ion_transport_PA2407_Paeruginosa_PAO1_180602	18.5
Sid_FptX_Ferripyochelin_uptake_Pseudomonas_aeruginosa_PA4218_180623	18.4
Sid_FptC_Ferripyochelin_uptake_Pseudomonas_aeruginosa_PA4219_180623	18.2
Sid_FptB_Ferripyochelin_uptake_Pseudomonas_aeruginosa_PA4220_180623	50
Sid_EntS_enterobactin_exporter_Ecoli_P24077_180603	18.3
Sid_EntD_enterobactin_synthesis_Ecoli.tblout	171.2
Sid_BesA_Bacillibactin_hydrolyze_Bsubtilis_YP_003867459.1_180603	32
Sid_AsbF_Petrobactin_biosynthesis_Bacillus_anthracis_Q81RQ4_180606	655
Sid_AsbD_Petrobactin_biosynthesis_Bacillus_anthracis_Q81RQ6_180623	30.1
Sid_AsbC_Petrobactin_biosynthesis_Bacillus_anthracis_Q81RQ7_180623	277.1
Iron_uptake_YfeB_Chelated_iron_transport_system_membrane_protein_Q56953_Yersinia_pestis_180610	50.9
Iron_uptake_YfeA_Periplasmic_chelated_iron-binding_protein_Q56952_Yersinia_pestis_180610	46.6
Heme_HasF_outer_membrane_protein_Pseudomonas_fluorescens_BAA88494.1	102.6
Heme_HasE_membrane_fusion_protein_Pseudomonas_fluorescens_BAA88493.1	292.2
Heme_HasD_ABC_protein_Pseudomonas_fluorescens_BAA88492.1	40
Sid_ViuB_Vibriobactin_siderophore_transport_utilization_protein_Vibrio_cholerae_A5F660	27.3
Sid_VibD_Vibriobactin_siderophore_biosynthesis_Vibrio_cholerae_AAD48884.1	20
Sid_RhbE_Rhizobactin_siderophore_biosynthesis_Rhizobium_meliloti_Q9Z3Q8	324.8
Sid_MbtJ_Mycobactin_biosynthesis_Mycobacterium_tuberculosis_YP_177876.1	256.9
Sid_MbtI_Mycobactin_biosynthesis_Mycobacterium_tuberculosis_NC_000962.3	66
Sid_MbtH_Mycobactin_biosynthesis_Mycobacterium_tuberculosis_NP_216893.1	35.1
Sid_MbtG_Mycobactin_biosynthesis_Mycobacterium_tuberculosis_NP_216894.1	77
Sid_MbtD_Mycobactin_biosynthesis_Mycobacterium_tuberculosis_NP_216897.1	34.8
Sid_MbtC_Mycobactin_biosynthesis_Mycobacterium_tuberculosis_NP_216898.1	19.2
Sid_AcsF_Achromobactin_siderophore_synthesis_Pseudomonas_syringae_EPF66771.1	20
Sid_AcsB_Achromobactin_siderophore_synthesis_Dickeya_chrysanthemi_AAL14564.1	33.8
FeoE	20
DFE_0448	27.5
DFE_0449	30
DFE_0450	30
DFE_0451	64
DFE_0461	40
DFE_0462	40
DFE_0463	100
DFE_0464	25
DFE_0465	20
